time_s,baseline_g,auto_g,saved_g,saved_pct,alpha
702000.0,5586.58,4136.63,1449.95,25.95,0.6
705600.0,108.95,108.95,0.0,0.0,0.0
709200.0,1536.95,156.86,1380.09,89.79,0.5
712800.0,4278.53,2170.66,2107.87,49.27,0.5
716400.0,4199.19,2557.8,1641.39,39.09,0.5
720000.0,4316.3,3247.25,1069.05,24.77,0.6
723600.0,1073.46,891.78,181.68,16.92,0.4
727200.0,6574.94,3598.03,2976.91,45.28,0.8
730800.0,3131.29,1935.62,1195.67,38.18,0.6
734400.0,691.98,691.98,0.0,0.0,0.0
738000.0,2711.74,1688.07,1023.67,37.75,0.4
741600.0,5335.53,3150.87,2184.66,40.95,0.4
745200.0,8377.56,4325.8,4051.76,48.36,0.6
748800.0,3741.03,2167.51,1573.52,42.06,0.6
752400.0,4687.74,1706.5,2981.23,63.6,0.5
756000.0,3240.34,733.52,2506.81,77.36,0.4
759600.0,2315.78,505.02,1810.76,78.19,0.7
763200.0,6186.86,1767.93,4418.93,71.42,0.4
766800.0,2207.49,646.32,1561.17,70.72,0.4
770400.0,1556.12,295.56,1260.56,81.01,0.4
774000.0,6109.27,4016.78,2092.49,34.25,0.3
777600.0,2305.27,310.75,1994.51,86.52,0.6
781200.0,4197.21,2926.74,1270.47,30.27,0.7
784800.0,4362.87,3094.82,1268.05,29.06,0.6
788400.0,572.65,451.5,121.15,21.16,0.9
792000.0,4985.31,3064.5,1920.81,38.53,0.5
795600.0,1415.66,1244.72,170.94,12.07,0.5
799200.0,4630.62,2077.97,2552.65,55.13,0.6
802800.0,4268.79,2255.6,2013.19,47.16,0.5
806400.0,2271.27,1928.48,342.79,15.09,0.5
810000.0,1204.79,1192.96,11.83,0.98,0.1
813600.0,2307.36,1735.49,571.87,24.78,0.1
817200.0,781.09,479.64,301.45,38.59,0.4
820800.0,5185.84,2467.99,2717.85,52.41,0.6
824400.0,4862.42,1897.88,2964.54,60.97,0.6
828000.0,2711.02,1609.02,1102.0,40.65,0.4
831600.0,4188.0,2742.63,1445.38,34.51,0.6
835200.0,3435.59,1029.72,2405.87,70.03,0.5
838800.0,4831.45,1660.18,3171.27,65.64,0.6
842400.0,6435.18,619.74,5815.44,90.37,0.4
846000.0,2401.64,1205.16,1196.48,49.82,0.4
849600.0,2433.43,262.7,2170.73,89.2,0.4
853200.0,8541.88,6707.98,1833.9,21.47,0.1
856800.0,3696.31,1815.78,1880.53,50.88,0.4
860400.0,1193.35,429.89,763.47,63.98,0.7
864000.0,9049.31,2292.75,6756.56,74.66,0.4
867600.0,857.51,1325.68,-468.18,-54.6,0.6
871200.0,2602.33,1394.59,1207.74,46.41,0.7
874800.0,1023.76,1023.76,0.0,0.0,0.0
878400.0,4926.1,2756.38,2169.72,44.05,0.5
882000.0,2863.36,302.96,2560.4,89.42,0.5
