job_name,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_000152,US_West,US_East,1,4125.0,74.0,318.1077000000001,False
j_002266,India,US_Central,1,775.1,244.0,69.8965666666646,False
j_001945,Korea,US_East,2,13660.4,193.0,1133.4938416666682,False
j_000850,US_East,US_West,5,16.1,74.0,0.7097416666656402,False
j_000546,US_Central,France,4,32.5,113.0,0.49020833333333336,False
j_000854,US_East,France,1,8475.1,90.0,105.6122694444443,False
j_000164,US_West,US_West,3,220.4,0.0,9.59964444444546,False
j_000870,US_East,France,5,7.0,90.0,0.10208333333333333,False
j_001232,France,France,5,3.8,0.0,0.055416666666496896,False
j_000547,US_Central,France,5,10.8,113.0,0.1577999999998299,False
j_002261,India,US_East,2,5417.4,204.0,429.68047500000216,False
j_000193,US_West,France,5,19.2,146.0,0.28053333333350344,False
j_000891,US_East,US_West,3,243.6,74.0,11.455966666665573,False
j_000500,US_Central,US_West,4,30.0,39.0,1.4108333333333334,False
j_000179,US_West,France,5,1.1,146.0,0.01607222222188203,False
j_000175,US_West,France,5,3.5,146.0,0.04151388888888889,False
j_000156,US_West,US_West,1,6794.3,0.0,261.0997749999996,False
j_000882,US_East,France,3,48.9,90.0,0.5800083333336096,False
j_002284,India,US_West,1,1230.9,225.0,50.06655833333422,False
j_001212,France,US_West,1,4732.0,146.0,186.69989444444437,False
j_001922,Korea,France,2,4532.7,238.0,54.727691666666814,False
j_000185,US_West,France,1,8696.1,146.0,100.7795888888886,False
j_000538,US_Central,US_West,4,89.8,39.0,3.414894444444002,False
j_002270,India,France,1,11374.9,137.0,131.6461500000003,False
j_001571,Germany,US_West,3,89.8,153.0,3.414894444444002,False
j_002272,India,US_West,1,19800.9,225.0,762.6005138888903,False
j_002605,Japan,France,1,3196.5,228.0,38.56913055555555,False
j_000887,US_East,France,5,3.2,90.0,0.03875555555569655,False
j_002620,Japan,France,2,1039.8,228.0,12.407266666666528,False
j_000516,US_Central,US_East,3,42.3,38.0,3.2547499999991043,False
j_000177,US_West,US_Central,5,4.7,39.0,0.42783055555661526,False
j_000153,US_West,US_East,2,785.9,74.0,61.651038888890945,False
j_000861,US_East,US_West,5,3.8,74.0,0.15463888888841515,False
j_000503,US_Central,US_West,5,10.4,39.0,0.4232222222231697,False
j_000892,US_East,US_West,5,2.2,74.0,0.08952777777825152,False
j_000187,US_West,US_East,3,250.6,74.0,20.5395222222203,False
j_002634,Japan,US_Central,5,15.4,128.0,1.3949833333354424,False
j_000506,US_Central,US_West,1,1157.3,39.0,44.22968333333288,False
j_000167,US_West,US_West,1,4857.6,0.0,174.91823055555508,False
j_002606,Japan,US_West,1,9411.8,109.0,320.7795638888885,False
j_000509,US_Central,US_East,5,5.8,38.0,0.4797888888879259,False
j_000196,US_West,US_West,5,5.7,0.0,0.21913333333378088,False
j_001218,France,France,4,13.0,0.0,0.16069444444444445,False
j_001200,France,US_East,1,21600.0,90.0,1918.594325,False
j_001949,Korea,US_East,1,3278.5,193.0,281.79938611111095,False
j_000174,US_West,US_East,5,5.3,74.0,0.4267972222212847,False
j_002644,Japan,US_West,1,13511.4,109.0,468.3354527777787,False
j_000537,US_Central,France,5,11.8,113.0,0.14323888888874758,False
j_000155,US_West,France,5,3.6,146.0,0.03979999999974259,False
j_001558,Germany,US_Central,3,426.5,125.0,34.55834722222222,False
j_001597,Germany,France,3,117.1,12.0,1.294605555555298,False
j_000857,US_East,US_West,3,123.9,74.0,4.4018916666674945,False
j_000505,US_Central,US_West,5,5.4,39.0,0.1918500000008272,False
j_002274,India,France,5,2.6,137.0,0.028744444444187035,False
j_001566,Germany,France,1,21600.0,12.0,237.274,False
j_000895,US_East,France,1,7782.8,90.0,88.63984444444432,False
j_000526,US_Central,France,3,97.1,113.0,1.073494444444187,False
j_001944,Korea,France,1,21600.0,238.0,238.93294444444436,False
j_000191,US_West,France,4,3.9,146.0,0.04365833333359397,False
j_000173,US_West,US_West,5,1.6,0.0,0.04977777777705342,False
j_001573,Germany,US_West,3,243.4,153.0,7.572444444445169,False
j_000188,US_West,France,5,10.1,146.0,0.11446666666640279,False
j_000542,US_Central,France,1,8432.9,113.0,93.70745000000026,False
j_002608,Japan,US_West,5,2.0,109.0,0.06705555555555556,False
j_001936,Korea,US_West,4,73.6,134.0,2.467644444443664,False
j_000871,US_East,US_West,3,407.6,74.0,13.665922222221441,False
j_000184,US_West,France,5,3.4,146.0,0.04136666666694994,False
j_001580,Germany,France,1,12337.7,12.0,133.13748333333348,False
j_000168,US_West,US_West,1,1957.0,0.0,64.83294722222234,False
j_002642,Japan,US_West,4,34.2,109.0,1.207450000000411,False
j_002251,India,France,1,1421.2,137.0,16.459588888889037,False
j_002631,Japan,US_West,5,5.2,109.0,0.17347777777816614,False
j_001911,Korea,US_West,1,1042.1,134.0,34.04963055555485,False
j_000176,US_West,France,5,5.2,146.0,0.05878888888902051,False
j_001553,Germany,US_East,1,13662.7,95.0,1232.7951722222233,False
j_002257,India,US_West,5,3.9,225.0,0.11721666666736646,False
j_001229,France,US_West,1,21600.0,146.0,1226.1133972222226,False
j_001919,Korea,US_East,4,14.6,193.0,1.2706055555535292,False
j_000517,US_Central,US_West,5,5.6,39.0,0.16831111111041133,False
j_001592,Germany,US_West,1,2767.0,153.0,95.76113333333315,False
j_001551,Germany,France,1,4414.1,12.0,46.93963333333316,False
j_000171,US_West,France,4,18.3,146.0,0.19723333333320786,False
j_001221,France,France,5,6.7,0.0,0.07221111111123657,False
j_002297,India,US_West,1,4871.1,225.0,208.10223333333212,False
j_001203,France,US_West,1,3249.0,146.0,131.46,False
j_002618,Japan,US_West,5,4.0,109.0,0.1378888888888889,False
j_001937,Korea,US_West,5,6.0,134.0,0.2068333333333333,False
j_001562,Germany,France,5,6.9,12.0,0.07609166666692342,False
j_001227,France,France,2,1128.4,0.0,11.927077777778035,False
j_002685,Japan,France,5,4.1,228.0,0.043391666666420255,False
j_001276,France,France,1,1084.4,0.0,11.244188888889122,False
j_001967,Korea,US_West,4,24.4,134.0,1.0403888888898816,False
j_001281,France,US_West,4,67.0,146.0,2.8568055555555554,False
j_001644,Germany,France,1,3220.0,12.0,34.24451388888889,False
j_001273,France,US_West,4,15.8,146.0,0.7188999999994703,False
j_001255,France,US_West,1,5450.2,146.0,297.68846666666707,False
j_001264,France,France,1,4851.0,0.0,50.62385833333335,False
j_001978,Korea,France,5,3.8,238.0,0.03831666666654927,False
j_002331,India,US_West,5,4.9,225.0,0.24377500000115832,False
j_001250,France,US_West,2,414.9,146.0,20.64127500000116,False
j_000904,US_East,US_West,2,2234.8,74.0,118.58310555555497,False
j_000229,US_West,France,5,5.2,146.0,0.05243333333345071,False
j_000212,US_West,France,1,4494.0,146.0,47.811211111111085,False
j_001254,France,France,1,4130.0,0.0,43.79381944444444,False
j_001641,Germany,France,4,29.2,12.0,0.34796666666680537,False
j_001262,France,US_West,1,1923.5,146.0,107.18815833333328,False
j_000213,US_West,US_West,4,33.3,0.0,1.8694249999993464,False
j_001960,Korea,France,4,31.9,238.0,0.3473555555558091,False
j_001624,Germany,France,1,2288.7,12.0,23.30641111111127,False
j_000582,US_Central,US_West,1,1816.7,39.0,107.39642500000062,False
j_001260,France,US_West,1,12432.4,146.0,812.4353222222236,False
j_001259,France,US_West,2,1414.7,146.0,84.13439166666733,False
j_001951,Korea,France,5,1.8,238.0,0.01819999999988229,False
j_001992,Korea,France,5,5.0,238.0,0.04666666666666667,False
j_001608,Germany,France,2,2053.3,12.0,22.828152777777646,False
j_002324,India,US_West,2,1964.9,225.0,127.9879416666682,False
j_002665,Japan,US_West,1,4102.8,109.0,276.568077777777,False
j_001953,Korea,France,5,6.3,238.0,0.07069999999986935,False
j_001611,Germany,France,1,6752.8,12.0,79.49388888888873,False
j_001619,Germany,France,5,5.9,12.0,0.06490000000025611,False
j_002346,India,France,1,2570.4,137.0,28.45925000000023,False
j_001959,Korea,France,4,8.8,238.0,0.09679999999987195,False
j_002335,India,US_West,3,326.7,225.0,21.531908333334098,False
j_001607,Germany,US_West,2,688.0,153.0,45.59666666666669,False
j_000577,US_Central,France,1,2934.8,113.0,32.009383333333204,False
j_001618,Germany,France,2,2162.8,12.0,23.524261111111006,False
j_001265,France,France,1,21600.0,0.0,271.92920555555554,False
j_001278,France,US_West,1,2617.8,146.0,184.8701555555548,False
j_000241,US_West,France,5,2.4,146.0,0.026533333333590738,False
j_002657,Japan,US_West,5,2.7,109.0,0.18885000000081426,False
j_002650,Japan,US_West,4,15.6,109.0,1.0911333333317048,False
j_001964,Korea,US_West,5,12.4,134.0,0.8673111111127396,False
j_001616,Germany,France,1,3463.9,12.0,43.890800000000375,False
j_001620,Germany,France,1,839.8,12.0,8.934586111110905,False
j_001252,France,US_West,1,4164.9,146.0,289.56788333333463,False
j_001298,France,US_West,1,19373.7,146.0,1183.4023638888893,False
